ProductGroupID,GroupName,GroupDescription,ParentGroupID,Category,CreatedAt,UpdatedAt,IsActive,DisplayOrder,SEOKeywords,SEOTitle,SEODescription
1,Smartphones,"Mobile phones with advanced computing capability, connectivity, and features.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,1,"smartphones, mobile phones, smartphones category","Smartphones Category","Explore our range of smartphones with advanced features."
2,Laptops,"Portable computers suitable for various applications, including work and personal use.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,2,"laptops, portable computers, laptops category","Laptops Category","Discover our selection of portable laptops."
3,Tablets,"Handheld touchscreen devices primarily used for internet browsing, media consumption, and productivity.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,3,"tablets, handheld devices, tablets category","Tablets Category","Browse our range of versatile tablets."
4,Smartwatches,"Wearable devices with computing capabilities, typically used for health tracking and notifications.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,4,"smartwatches, wearables, smartwatches category","Smartwatches Category","Explore our collection of smartwatches."
5,Smart Speakers,"Wireless speakers with integrated voice assistants for smart home control and audio playback.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,5,"smart speakers, wireless speakers, smart speakers category","Smart Speakers Category","Discover smart speakers with voice control."
6,Wireless Headphones,"Headphones that connect wirelessly to devices, offering freedom of movement and convenience.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,6,"wireless headphones, headphones, wireless headphones category","Wireless Headphones Category","Explore our range of wireless headphones."
7,Digital Cameras,"Cameras that capture and store digital images and videos for photography enthusiasts and professionals.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,7,"digital cameras, cameras, digital cameras category","Digital Cameras Category","Discover high-quality digital cameras."
8,Gaming Consoles,"Dedicated gaming devices designed for playing video games.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,8,"gaming consoles, consoles, gaming consoles category","Gaming Consoles Category","Explore our gaming console collection."
9,Portable Chargers,"Compact devices used to recharge smartphones and other portable electronics on the go.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,9,"portable chargers, chargers, portable chargers category","Portable Chargers Category","Browse our selection of portable chargers."
10,External Hard Drives,"External storage devices used for backing up and storing large amounts of data.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,10,"external hard drives, hard drives, external hard drives category","External Hard Drives Category","Discover our range of external hard drives."
11,Smart TVs,"Television sets with integrated internet connectivity and interactive features.",null,Electronics,2024-06-21 08:00:00,2024-06-21 08:00:00,1,11,"smart TVs, TVs, smart TVs category","Smart TVs Category","Explore our smart TV collection."
