ProductID,ProductName,ProductDescription,ProductGroupID,Price,StockQuantity,Manufacturer,SupplierID,WarrantyPeriod,SKU,Dimensions,Weight,Color,ReleaseDate,CreatedAt,UpdatedAt
1,"Smartphone X","High-performance smartphone with AI camera and edge-to-edge display.",1,799,5000,"TechCo","1",12,"SKU001","6x3x0.3 inches",0.3,"Black","2023-01-15","2024-06-22 06:00:00","2024-06-22 06:00:00"
2,"Laptop Y","Thin and lightweight laptop with SSD storage and long battery life.",2,1299,2000,"TechCo","1",24,"SKU002","14x10x0.6 inches",2.0,"Silver","2023-02-20","2024-06-22 06:15:00","2024-06-22 06:15:00"
3,"Smartwatch Z","Fitness-oriented smartwatch with heart rate monitoring and GPS.",3,199,10000,"Wearables Inc.","2",12,"SKU003","2x2x0.4 inches",0.1,"Black","2023-03-25","2024-06-22 06:30:00","2024-06-22 06:30:00"
4,"Tablet A","10-inch tablet with quad-core processor and Full HD display.",4,399,3000,"TechCo","1",12,"SKU004","10x7x0.3 inches",1.0,"White","2023-04-30","2024-06-22 06:45:00","2024-06-22 06:45:00"
5,"Bluetooth Speaker B","Portable Bluetooth speaker with 20W output and waterproof design.",5,79,8000,"AudioTech","4",12,"SKU005","8x4x4 inches",1.5,"Black","2023-05-15","2024-06-22 07:00:00","2024-06-22 07:00:00"
6,"Smart Thermostat C","WiFi-enabled smart thermostat with energy-saving features.",6,149,1500,"ClimateTech","18",24,"SKU006","4x4x1 inches",0.5,"Silver","2023-06-20","2024-06-22 07:15:00","2024-06-22 07:15:00"
7,"Robotic Vacuum Cleaner D","Robotic vacuum cleaner with mapping technology and self-charging.",7,299,500,"RoboTech","19",24,"SKU007","14x14x4 inches",3.5,"Black","2023-07-25","2024-06-22 07:30:00","2024-06-22 07:30:00"
8,"Digital Camera E","Mirrorless digital camera with 24MP sensor and 4K video recording.",8,899,1000,"PhotoTech","5",24,"SKU008","5x4x3 inches",1.0,"Black","2023-08-30","2024-06-22 07:45:00","2024-06-22 07:45:00"
9,"Electric Scooter F","Foldable electric scooter with a top speed of 15 mph and 15-mile range.",9,399,300,"EcoRide","20",12,"SKU009","40x18x6 inches",12.0,"Black","2023-09-15","2024-06-22 08:00:00","2024-06-22 08:00:00"
10,"Smart Home Hub G","Centralized smart home hub for controlling devices and managing routines.",10,129,2000,"ConnectTech","9",12,"SKU010","4x4x1 inches",0.2,"White","2023-10-20","2024-06-22 08:15:00","2024-06-22 08:15:00"
