TrendID,ProductGroupID,TrendDescription,TrendStartDate,TrendEndDate,MarketRegion,CompetitorAnalysis,SalesImpact,CustomerFeedback,AdvertisingCampaign,CreatedAt,UpdatedAt
1,1,"Growing demand for smartphones with 5G connectivity and AI-powered cameras.",2024-01-01,2024-12-31,"Global","Competitors launching 5G phones with enhanced camera features.","Positive","Customers appreciate faster internet speeds and improved photography capabilities.","Social media campaigns highlighting 5G benefits.","2024-06-21 08:00:00","2024-06-21 08:00:00"
2,2,"Increasing adoption of smart refrigerators with energy-efficient cooling and food management features.",2024-01-01,2024-12-31,"North America","New competitor offering refrigerators with touchscreen interfaces and food expiration tracking.","Positive","Users value food freshness and energy savings.","Email promotions focusing on smart home innovations.","2024-06-21 08:00:00","2024-06-21 08:00:00"
3,3,"Rising interest in robot vacuum cleaners for automated cleaning and pet hair removal.",2024-01-01,2024-12-31,"Europe","Competitor introducing vacuum with enhanced suction power and navigation technology.","Positive","Homeowners appreciate hands-free cleaning and pet-friendly features.","Ad campaigns targeting busy professionals and pet owners.","2024-06-21 08:00:00","2024-06-21 08:00:00"
4,4,"Growing market for wearable fitness trackers with sleep monitoring and GPS tracking features.",2024-01-01,2024-12-31,"Asia-Pacific","New competitors offering trackers with longer battery life and waterproof design.","Positive","Fitness enthusiasts value sleep insights and accurate activity tracking.","Social media ads promoting health and fitness benefits.","2024-06-21 08:00:00","2024-06-21 08:00:00"
5,5,"Increasing demand for smart TVs with 4K resolution and streaming platform integration.",2024-01-01,2024-12-31,"Latin America","Competitors launching TVs with voice control and multiple HDMI ports.","Positive","Customers appreciate immersive viewing experiences and easy access to streaming services.","Email campaigns highlighting home entertainment upgrades.","2024-06-21 08:00:00","2024-06-21 08:00:00"
6,6,"Rising interest in AI-powered home security cameras for real-time monitoring and facial recognition.",2024-01-01,2024-12-31,"Global","New competitor offering cameras with cloud storage and customizable alerts.","Positive","Homeowners value enhanced security features and peace of mind.","Ad campaigns emphasizing smart home protection.","2024-06-21 08:00:00","2024-06-21 08:00:00"
7,7,"Growing market for wireless earbuds with noise-canceling and long battery life features.",2024-01-01,2024-12-31,"North America","Competitors launching earbuds with sweat resistance and ergonomic fit.","Positive","Users appreciate wireless convenience and immersive sound quality.","Social media promotions showcasing audio performance.","2024-06-21 08:00:00","2024-06-21 08:00:00"
8,8,"Increasing adoption of smart thermostats for energy-efficient home climate control.",2024-01-01,2024-12-31,"Europe","New competitor offering thermostat with geo-fencing and energy usage insights.","Positive","Customers value reduced energy bills and remote temperature control.","Email marketing focusing on smart home sustainability.","2024-06-21 08:00:00","2024-06-21 08:00:00"
9,9,"Rising interest in gaming laptops with high refresh rate displays and RGB keyboard lighting.",2024-01-01,2024-12-31,"Asia-Pacific","Competitors launching laptops with powerful GPUs and thin bezel designs.","Positive","Gamers appreciate smooth gameplay and customizable aesthetics.","Ad campaigns targeting gaming enthusiasts.","2024-06-21 08:00:00","2024-06-21 08:00:00"
10,10,"Growing market for smart watches with health monitoring and app notifications.",2024-01-01,2024-12-31,"Latin America","New competitors offering watches with ECG and blood oxygen sensors.","Positive","Users value health insights and connectivity features.","Social media ads promoting active lifestyles.","2024-06-21 08:00:00","2024-06-21 08:00:00"
11,11,"Increasing demand for robotic lawn mowers with GPS navigation and weather sensors.",2024-01-01,2024-12-31,"Global","Competitor introducing mower with smartphone app control and rain detection.","Positive","Homeowners appreciate automated lawn care and environmental sensors.","Email promotions focusing on smart gardening solutions.","2024-06-21 08:00:00","2024-06-21 08:00:00"
12,12,"Rising interest in smart home lighting systems with voice control and color-changing bulbs.",2024-01-01,2024-12-31,"North America","New competitor offering lighting kits with motion sensors and adjustable brightness.","Positive","Customers value ambiance customization and energy efficiency.","Social media campaigns highlighting smart home upgrades.","2024-06-21 08:00:00","2024-06-21 08:00:00"
13,13,"Growing market for electric scooters with long battery range and foldable designs.",2024-01-01,2024-12-31,"Europe","Competitors launching scooters with app connectivity and regenerative braking.","Positive","Users appreciate eco-friendly commuting and portable designs.","Ad campaigns targeting urban commuters.","2024-06-21 08:00:00","2024-06-21 08:00:00"
14,14,"Increasing adoption of smart speakers with built-in virtual assistants and multi-room audio.",2024-01-01,2024-12-31,"Asia-Pacific","New competitor offering speakers with advanced sound technology and smart home integration.","Positive","Customers value voice control and seamless audio streaming.","Email promotions emphasizing home automation benefits.","2024-06-21 08:00:00","2024-06-21 08:00:00"
15,15,"Rising interest in compact digital cameras with high megapixel sensors and 4K video recording.",2024-01-01,2024-12-31,"Latin America","Competitors launching cameras with touchscreen interfaces and image stabilization.","Positive","Photographers appreciate portability and professional-grade features.","Social media ads showcasing photography capabilities.","2024-06-21 08:00:00","2024-06-21 08:00:00"
16,16,"Growing market for smart home security systems with video doorbells and cloud storage options.",2024-01-01,2024-12-31,"Global","New competitor offering comprehensive security bundles with mobile app control.","Positive","Homeowners value remote monitoring and package delivery alerts.","Ad campaigns focusing on home safety and convenience.","2024-06-21 08:00:00","2024-06-21 08:00:00"
17,17,"Increasing demand for portable Bluetooth speakers with waterproof and shockproof designs.",2024-01-01,2024-12-31,"North America","Competitors launching speakers with extended battery life and outdoor durability.","Positive","Users appreciate rugged build quality and wireless connectivity.","Email promotions targeting outdoor enthusiasts.","2024-06-21 08:00:00","2024-06-21 08:00:00"
18,18,"Rising interest in AI-powered home assistants for scheduling, reminders, and home automation.",2024-01-01,2024-12-31,"Europe","New competitor offering assistant with natural language processing and smart home control.","Positive","Customers value hands-free assistance and personalized routines.","Social media ads highlighting AI capabilities.","2024-06-21 08:00:00","2024-06-21 08:00:00"
19,19,"Growing market for wireless gaming headsets with surround sound and noise-canceling features.",2024-01-01,2024-12-31,"Asia-Pacific","Competitors launching headsets with long-lasting comfort and microphone clarity.","Positive","Gamers appreciate immersive audio and competitive edge.","Ad campaigns targeting gaming communities.","2024-06-21 08:00:00","2024-06-21 08:00:00"
20,20,"Increasing adoption of smart air purifiers with HEPA filters and air quality sensors.",2024-01-01,2024-12-31,"Latin America","New competitor offering purifiers with app monitoring and allergen removal.","Positive","Users value clean indoor air and allergy relief.","Email promotions focusing on health benefits.","2024-06-21 08:00:00","2024-06-21 08:00:00"
21,21,"Growing market for electric bicycles with pedal assist and long-range batteries.",2024-01-01,2024-12-31,"Global","New competitors offering bikes with lightweight frames and smartphone integration.","Positive","Cyclists appreciate eco-friendly commuting and extended range.","Social media promotions highlighting bike features.","2024-06-21 08:00:00","2024-06-21 08:00:00"
22,22,"Increasing demand for smart pet devices with activity tracking and health monitoring features.",2024-01-01,2024-12-31,"North America","Competitors launching devices with GPS tracking and vet consultation services.","Positive","Pet owners value real-time pet health updates and remote monitoring.","Email campaigns focusing on pet wellness.","2024-06-21 08:00:00","2024-06-21 08:00:00"
